id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,48887.0,923875321471,1,1026553282808.0,20396518824.0,50863.0,48709.0,-374.967947182107,-0.76116,-5331009355.707764,-0.57372,18899537.0,21000000.0,21000000.0,69045.0,-29.2003,2021-11-10T14:24:11.849Z,67.81,71989.9728,2013-07-06T00:00:00.000Z,,2021-12-13T04:27:34.005Z,0.10423827487912102,-0.7611635537895275,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,4012.61,475491148564,2,,15097387595.0,4172.05,3970.08,-33.911704761558,-0.83805,-3640139151.7647705,-0.75974,118717140.0615,,,4878.26,-17.89601,2021-11-10T14:24:19.604Z,0.432979,924944.40384,2015-10-20T00:00:00.000Z,,2021-12-13T04:26:55.011Z,0.4864322751934119,-0.8380461352009712,108.82155952086974,btc,10882.155952086974
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,558.32,93810370649,3,93810370649.0,1032788659.0,573.92,556.39,-3.712854650307,-0.66061,-432598531.7481842,-0.45902,168137035.9,168137035.9,168137035.9,686.31,-18.70398,2021-05-10T07:24:17.097Z,0.0398177,1401136.12568,2017-10-19T00:00:00.000Z,,2021-12-13T04:28:47.142Z,0.18750168415413562,-0.6606120461466973,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,77538375407,4,,42421018952.0,1.01,0.993639,3.266e-05,0.00326,376585170.0,0.48805,77485190049.2203,77485190049.2203,,1.32,-24.36778,2018-07-24T00:00:00.000Z,0.572521,74.78597,2015-03-02T00:00:00.000Z,,2021-12-13T04:27:31.962Z,0.02804858096593778,0.0032612242742268275,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/Solana.jpg?1635329178,167.25,51488915032,5,,1187723033.0,176.9,167.11,-1.865420470491,-1.10304,-445835921.69768524,-0.85845,307647071.551367,508180963.57,,259.96,-35.68297,2021-11-06T21:54:35.825Z,0.500801,33286.11669,2020-05-11T19:35:23.449Z,,2021-12-13T04:26:37.163Z,-0.31914433500147543,-1.103044235319937,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.31,42010137753,6,58954442938.0,1106726343.0,1.38,1.3,-0.057534599357,-4.1966,-2143100016.8729095,-4.85378,32066390668.4135,45000000000.0,45000000000.0,3.09,-57.57072,2021-09-02T06:00:10.474Z,0.01925275,6702.94663,2020-03-13T02:22:55.044Z,,2021-12-13T04:27:06.777Z,0.36952123305969814,-4.196602748129525,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.999948,41548778084,7,,2490072600.0,1.0,0.994151,-0.000219730095,-0.02197,689597.0,0.00166,41567146003.3707,41617939008.3953,,1.17,-14.76482,2019-05-08T00:40:28.300Z,0.891848,12.07719,2021-05-19T13:14:05.611Z,,2021-12-13T04:27:00.979Z,-0.11898740134346385,-0.021969324062945116,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.823843,38898637770,8,82329871239.0,2575477846.0,0.858468,0.813198,-0.003044793184,-0.36822,-132554054.17946625,-0.33961,47247295769.0,100000000000.0,100000000000.0,3.4,-75.77429,2018-01-07T00:00:00.000Z,0.00268621,30549.12034,2014-05-22T00:00:00.000Z,,2021-12-13T04:26:37.151Z,-0.05131306486146307,-0.3682233913109565,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,28.85,30706999791,9,,908705778.0,29.95,27.41,1.15,4.17065,1251977756.0,4.25047,1064325269.40988,1145264365.87355,,54.98,-47.53823,2021-11-04T14:10:09.301Z,2.7,969.30253,2020-08-20T05:48:11.359Z,,2021-12-13T04:26:32.180Z,-1.3840306985099755,4.1706546285574815,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,61.11,23092016483,10,61046404118.0,1497593603.0,62.4,58.03,2.56,4.37631,949413809.0,4.28772,378269888.559547,851281791.056707,1000000000.0,77.73,-21.47209,2021-12-05T09:49:05.708Z,0.121798,50015.64094,2020-03-18T17:03:01.083Z,,2021-12-13T04:27:45.669Z,0.13414099873223334,4.37631186644757,,,
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.165791,21946195993,11,,692919780.0,0.172599,0.164316,-0.002335242449,-1.38898,-293647022.87950134,-1.32036,132494539275.087,,,0.731578,-77.35874,2021-05-08T05:08:23.458Z,8.69e-05,190499.92288,2015-05-06T00:00:00.000Z,,2021-12-13T04:27:20.818Z,0.04211720129691454,-1.3889778392889633,,,
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,87.78,21361793506,12,63269954735.0,677160203.0,89.58,82.91,3.39,4.01181,863436959.0,4.21223,243093129.890192,377752194.4695483,720000000.0,144.96,-39.39467,2021-11-21T14:18:56.538Z,2.8,3036.45859,2020-12-31T13:15:21.540Z,,2021-12-13T04:27:05.265Z,-0.849639839913715,4.011809162728685,,,
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,3.566e-05,19552581617,13,,1397553833.0,3.753e-05,3.401e-05,1.32e-06,3.85143,723240877.0,3.84103,549151288389464.9,1000000000000000.0,,8.616e-05,-58.66797,2021-10-28T03:54:55.568Z,5.6e-11,63177944.97971,2020-11-28T11:26:25.838Z,,2021-12-13T04:28:36.251Z,0.13305268186213043,3.851426964818209,,,
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.579938,14634460592,14,,290616882.0,0.6158,0.572082,0.00244709,0.42374,94127178.0,0.64735,25263013692.0,30263013692.0,,0.965407,-39.9728,2021-11-24T15:53:54.855Z,0.0121196,4681.56886,2019-02-08T00:00:00.000Z,,2021-12-13T04:28:44.541Z,0.3012983535315125,0.4237447426492088,,,
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,0.998629,13858522432,15,,3017934092.0,1.01,0.992781,-0.00114199253,-0.11423,-5929616.214673996,-0.04277,13885668579.7,13885668579.7,,1.15,-13.50666,2020-03-13T02:35:42.953Z,0.901127,10.78454,2021-05-19T13:04:37.445Z,,2021-12-13T04:26:28.169Z,-0.1916042751942673,-0.11422543166779651,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.01,13796731387,16,20074133381.0,1070848974.0,2.13,1.99,-0.078517146184,-3.76015,-536458687.0689888,-3.74277,6872890164.27,10000000000.0,10000000000.0,2.62,-23.39369,2021-05-18T19:38:18.813Z,0.00314376,63753.83858,2019-05-10T00:00:00.000Z,,2021-12-13T04:26:46.525Z,0.6537927045784777,-3.760154235842882,763.1137532602737,usd,76311.37532602738
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,48887.0,12541018193,17,12541018193.0,340990881.0,50676.0,48646.0,-339.68706656521,-0.69004,-78611198.24606705,-0.62293,256689.84405604,256689.84405604,256689.84405604,70643.0,-30.8404,2021-11-10T14:40:19.650Z,3139.17,1456.35557,2019-04-02T00:00:00.000Z,,2021-12-13T04:27:16.939Z,0.12691131629224967,-0.6900420301772667,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,154.23,10653473214,18,12936119540.0,775405918.0,161.8,153.43,-1.702819855849,-1.09204,-112476937.2925396,-1.04475,69177758.2334713,84000000.0,84000000.0,410.26,-62.46275,2021-05-10T03:13:07.904Z,1.15,13304.82118,2015-01-14T00:00:00.000Z,,2021-12-13T04:27:54.704Z,0.15436573276497947,-1.092039637158935,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.49,9413450050,19,14908985317.0,146376436.0,1.57,1.48,-0.034134777072,-2.2349,-210204393.12085915,-2.18425,6313944141.788,6766183722.14981,10000000000.0,3.56,-58.1344,2019-06-20T14:51:19.480Z,0.105336,1315.38076,2020-03-13T02:20:48.438Z,,2021-12-13T04:26:14.474Z,0.4168247350623086,-2.234895051849784,-0.37782498629415456,usd,-37.78249862941546
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.089987,9141532763,20,,746126643.0,0.092587,0.089269,-0.001635036644,-1.78455,-158837206.86923218,-1.70786,101885638938.657,101900409184.273,,0.231673,-61.27146,2018-01-05T00:00:00.000Z,0.00180434,4872.64295,2017-11-12T00:00:00.000Z,,2021-12-13T04:28:06.384Z,0.3357426314544116,-1.7845494206671388,46.361464523257716,usd,4636.146452325772
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,19.56,9132125508,21,19554472562.0,585218450.0,20.67,19.33,-0.077590199159,-0.39502,-35498789.49869537,-0.38722,467009553.9174637,1000000000.0,1000000000.0,52.7,-62.89581,2021-05-10T00:13:57.214Z,0.148183,13094.91323,2017-11-29T00:00:00.000Z,,2021-12-13T04:27:18.516Z,0.037683926200568735,-0.3950225391471118,,,
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,0.999453,8896949088,22,8896949088.0,444311654.0,1.02,0.993563,-0.000647227987,-0.06472,-46858025.77419472,-0.52392,8906342627.71941,8906342627.71941,8906342627.71941,1.22,-18.04739,2020-03-13T03:02:50.373Z,0.903243,10.5954,2019-11-25T00:04:18.137Z,,2021-12-13T04:27:31.064Z,-0.23950520940442632,-0.0647162913643455,,,
terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,8679562875,23,,94964754.0,1.01,0.994244,-0.000120145487,-0.012,27340603.0,0.316,8672261020.14076,8669114770.57197,,1.09,-8.32799,2021-01-11T22:30:57.984Z,0.857992,16.6646,2021-05-19T13:14:26.898Z,,2021-12-13T04:26:50.200Z,0.09933146313233514,-0.011995845072362392,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,444.18,8398112083,24,9318395172.0,1888771001.0,462.75,441.22,-8.723470149431,-1.92612,-153291810.92549896,-1.79259,18926043.6466526,21000000.0,21000000.0,3785.82,-88.27907,2017-12-20T00:00:00.000Z,76.93,476.76518,2018-12-16T00:00:00.000Z,,2021-12-13T04:26:25.355Z,0.44747827106692406,-1.9261187315063055,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,28.29,7429560060,25,,623226900.0,28.58,26.41,1.24,4.57076,332329549.0,4.68252,262680011.32,300000000.0,,44.01,-35.72663,2021-05-03T01:03:16.108Z,0.580608,4771.39178,2019-01-14T00:00:00.000Z,,2021-12-13T04:26:22.787Z,1.243723203118784,4.5707566536056525,,,
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,15.42,6980186747,26,15409349744.0,115033188.0,16.18,15.31,-0.280724420908,-1.78782,-113270599.80113983,-1.59683,452983861.28563094,1000000000.0,1000000000.0,44.92,-65.69149,2021-05-03T05:25:04.822Z,1.03,1395.93774,2020-09-17T01:20:38.214Z,,2021-12-13T04:27:34.764Z,-0.035957345909200036,-1.7878246705374756,,,
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,101.02,6851146432,27,27249683304.0,143341672.0,105.49,100.66,-1.751339986989,-1.70411,-111810751.61941051,-1.60579,67883707.7138017,270000000.0,270000000.0,164.9,-38.76332,2021-11-06T19:29:29.482Z,0.123718,81519.30562,2020-11-06T08:05:43.662Z,,2021-12-13T04:26:21.570Z,0.22228139647305795,-1.7041081050581246,,,
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,23.72,6727931064,28,,331414451.0,25.02,23.6,-0.364901899393,-1.51501,-93806118.00548267,-1.37511,283927399.669977,,,44.42,-46.65412,2021-09-20T00:05:25.062Z,1.16,1942.66474,2020-03-13T02:27:44.591Z,,2021-12-13T04:26:40.121Z,0.3745057774456902,-1.5150135604235968,236.2081646808055,usd,23620.81646808055
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.267726,6586618861,29,13372517685.0,279701242.0,0.282052,0.267183,-0.004332464592,-1.59248,-104338709.10502243,-1.5594,24628332754.4229,50001802479.562,50001802479.562,0.875563,-69.46251,2018-01-03T00:00:00.000Z,0.00047612,56056.6565,2015-03-05T00:00:00.000Z,,2021-12-13T04:26:40.020Z,0.20322351823038315,-1.5924760436680532,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,3973.24,6231538100,30,6231538100.0,3565759.0,4137.29,3938.11,-37.274002776201,-0.92941,-49888034.89661598,-0.79422,1568592.50304121,1568592.50304121,1568592.50304121,4829.57,-17.75711,2021-11-10T14:40:47.256Z,482.9,722.53251,2020-12-22T04:08:21.854Z,,2021-12-13T04:28:12.382Z,0.3011702278279694,-0.9294078115965804,,,
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,80.3,6020167474,31,,35005416.0,83.61,70.8,-0.791747029096,-0.97635,-89590738.06311703,-1.46635,74974556.7776676,74974556.7776676,,97.75,-17.8766,2021-11-21T12:39:57.508Z,1.89,4155.77005,2020-03-13T02:22:33.711Z,,2021-12-13T04:28:38.546Z,0.43887244281327964,-0.9763505972303138,,,
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,10.23,5895330011,32,10247417061.0,286751684.0,11.16,10.24,-0.921323642158,-8.26204,-530518158.72999096,-8.256,575299119.381299,1000000000.0,1000000000.0,13.2,-22.42345,2021-10-26T13:09:48.238Z,0.526762,1843.62237,2020-11-04T16:09:15.137Z,,2021-12-13T04:28:36.412Z,-0.686916348770412,-8.262035686654832,,,
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,40.84,5686833297,33,13683320854.0,69624262.0,41.89,39.91,0.599687,1.49019,95565521.0,1.70919,139295691.31874424,335165027.385972,335165027.385972,84.18,-51.50276,2021-09-09T16:59:43.151Z,1.15,3450.97216,2019-09-06T00:00:00.000Z,,2021-12-13T04:26:53.018Z,0.003970310561836993,1.4901883888708187,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.083774,5587211161,34,,243372850.0,0.088231,0.083559,-0.001478593218,-1.73438,-90839608.5092144,-1.59984,66760741299.0,86712634466.0,,0.280991,-70.21611,2021-04-19T01:08:21.675Z,0.00191713,4265.37557,2020-03-13T02:29:59.652Z,,2021-12-13T04:27:08.744Z,-0.14685897889573707,-1.7343767210974095,6.307152333013234,eth,630.7152333013235
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,38.65,5270688275,35,76140401607.0,326046209.0,40.37,38.39,-1.115768976851,-2.80576,-121382974.6387577,-2.25114,136438733.0,1970994941.0,1970994941.0,236.84,-83.68456,2021-04-01T13:29:41.564Z,20.06,92.63372,2020-12-29T22:32:28.483Z,,2021-12-13T04:25:53.322Z,0.17140760101832156,-2.8057595446410852,,,
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,256.06,5167717750,36,,131424166.0,268.31,250.04,1.83,0.72027,39364866.0,0.76759,20211610.0,20397843.0,,545.64,-53.14108,2021-11-23T10:33:26.737Z,6.51,3829.52318,2020-10-07T01:44:53.554Z,,2021-12-13T04:27:24.832Z,1.0405890421022124,0.7202667659621316,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,27.41,5035734471,37,12858955694.0,151390415.0,28.91,27.11,-0.241921200647,-0.87491,-34328476.43584061,-0.67708,183750197.9,469213710.0,469213710.0,700.65,-96.08857,2021-05-10T16:05:53.653Z,24.29,12.82202,2021-12-04T05:33:43.785Z,,2021-12-13T04:25:48.573Z,0.15237895780014526,-0.8749099076331461,,,
